address,insn,name,class,evidence,action
0x18004738d,11,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180047470,11,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18004748c,26,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.565 (0x18000e3d7),needs manual adjudication
0x1800474e3,7,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.769 (0x180038f2d),needs manual adjudication
0x180047500,47,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.884 (0x1800576b0),"implement (plugin-owned, no rebuild match)"
0x180047b60,194,,ABSENT-LIBRARY,import api-ms-win-crt-filesystem-l1-1-0.dll!_mkdir; import api-ms-win-crt-filesystem-l1-1-0.dll!_stat64i32 | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.000,"build-config / template-shape, not hand-written body"
0x180047e40,7,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.500 (0x180018540),"implement (plugin-owned, no rebuild match)"
0x180047e5e,73,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180047f83,33,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18004802d,45,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x1800483b0,35,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.452 (0x180058680),"implement (plugin-owned, no rebuild match)"
0x18004ccd1,7,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.933 (0x18005d711),needs manual adjudication
